word,meanItemRT,nItem,word_length,gpt3_logprob,word_type
arms,327.9999335914565,270,4,0.6313445425,content
army,349.46666666666664,75,4,0.28338934,content
around,356.77380952380946,252,6,2.8565229426923078,content
arrived,415.2134831460674,89,7,2.2257351,content
arrows,342.45238095238096,84,6,2.949922,content
art,336.68292682926824,82,3,5.5257773,content
articles,364.0694444444445,72,8,1.1508021,content
as,362.93733850129206,176,2,2.4277842708273076,function
ask,321.8510638297873,94,3,4.217854,content
asked,331.8255573343508,276,5,2.5332086691666666,content
asking,378.3956043956045,91,6,9.525518,content
asleep,336.8536398467433,177,6,0.5550838300000001,content
asset,307.12820512820514,78,5,0.67201835,content
assigned,344.08045977011494,87,8,10.495486,content
assured,329.8188246385921,160,7,5.65516385,content
at,488.7402903811252,182,2,2.3622375043898307,function
atomic,322.67605633802816,71,6,1.6896266,content
attempts,384.986301369863,73,8,,content
attention,324.5,68,9,8.589101,content
atypical,385.09859154929575,71,8,,content
audience,324.18462462462463,223,8,1.376024574,content
augustus,439.7631578947368,76,8,0.008731847,content
author,355.62666666666667,75,6,4.360855,content
autosomal,379.4347826086957,69,9,,content
avail,352.22727272727275,88,5,1.2902198,content
average,377.16438356164383,73,7,3.2480915,content
avoid,370.5326086956521,92,5,1.3287772,content
awaited,333.81176470588235,85,7,0.6695057,content
away,344.10085257031665,261,4,1.5632804919999999,content
baby,332.51063829787233,94,4,2.906813155,content
back,336.88563397386923,436,4,2.6567249176666667,content
background,453.4125041625042,155,10,1.2549376133333332,content
backs,406.7666666666668,90,5,6.291414,content
bad,296.8170731707317,82,3,5.3375065,content
bade,366.4941176470588,85,4,,content
badly,307.3452380952381,84,5,1.7769209,content
bag,318.5681818181818,88,3,0.019115338,content
bakery,315.91208791208794,91,6,4.550771,content
balance,396.89772727272725,88,7,5.2858367,content
bald,292.6304347826087,92,4,4.6319265,content
ballistic,336.24285714285713,70,9,1.1763718,content
balloon,448.0666666666667,75,7,0.014523209833333333,content
balloons,350.08571428571423,70,8,0.41896716,content
bank,321.6413043478261,92,4,1.0684919,content
bar,317.1720430107527,93,3,1.0164507353846153,content
barber,314.99879890185315,187,6,,content
barbershop,544.8510638297872,94,10,,content
bare,389.6483516483516,91,4,5.525566,content
based,352.6478873239437,71,5,3.779561,content
basic,341.9014084507042,71,5,6.866041,content
basis,320.7285714285714,70,5,1.7761118,content
be,317.33333333333337,84,2,1.4886415307625,function
beach,307.0112359550562,89,5,1.8701596,content
beamed,315.3253012048193,83,6,,content
beaming,324.2127659574468,94,7,,content
beasts,333.70238095238096,84,6,,content
beat,362.8351648351648,91,4,3.7508613,content
beautiful,353.0604395604396,182,9,2.9220602166666665,content
beavers,388.7209302325581,86,7,,content
became,329.34065934065933,91,6,3.3626243033333334,content
because,391.8021978021977,91,7,3.5826350378125,function
beckoning,296.6351351351351,74,9,,content
become,330.9324324324324,74,6,2.79220582,content
bed,332.7127871807068,262,3,1.00472888238,content
bedroom,289.6341463414634,82,7,2.6047269,content
been,293.9638554216868,83,4,1.292075552926087,function
before,337.9560558537008,352,6,3.625100771818182,function
began,313.00350619699935,157,5,2.757588324285714,content
beginning,349.4725274725275,91,9,5.3229682,content
behave,311.8846153846154,78,6,0.8260453,content
behind,344.03571428571433,84,6,2.2804631528000003,content
behold,327.1868131868132,91,6,0.0010991918,content
being,352.54126488939306,168,5,2.415234944142857,function
believe,312.3333333333333,75,7,0.8022803,content
believed,295.1309523809524,84,8,5.622666,content
belonged,384.5686344238976,150,8,3.2714230133333335,content
belonging,284.2054794520548,73,9,4.911087,content
below,306.6043956043957,182,5,2.2258595333333333,function
bending,437.5211267605633,71,7,6.185456,content
beside,289.4691358024692,81,6,4.0613575,content
besides,427.77777777777777,90,7,4.6015778,content
best,308.48387096774195,93,4,0.09625883,content
better,311.3068181818182,88,6,4.075822032857143,content
between,374.875,72,7,1.5551843499999998,function
bewitching,290.3804347826087,92,10,,content
bide,349.4117647058823,85,4,,content
big,330.38461538461536,91,3,4.168394017777778,content
bigger,305.90588235294115,85,6,6.614972,content
birches,313.7362637362637,91,7,,content
bird,342.3806818181818,176,4,1.2420658647,content
birds,346.07393707824735,266,5,1.539907978259259,content
bit,332.4404761904762,84,3,1.06265375,content
bitch,369.0860215053764,93,5,3.2349937,content
bitter,296.1511627906977,86,6,2.155505,content
bizarden,382.9871794871795,78,8,,content
black,324.85227272727275,88,5,4.828558,content
blatantly,344.6703296703297,91,9,15.507236,content
bleeped,297.6184210526316,76,7,,content
blew,338.64835164835165,91,4,3.0646374,content
blinking,350.3521126760563,143,8,0.3565652375,content
blood,339.7857142857143,70,5,2.5251398,content
bloom,410.57142857142856,77,5,1.6747797,content
blow,310.7608695652174,92,4,4.815045,content
blue,392.7065217391304,92,4,2.9101420940000002,content
bluebird,418.625,88,8,,content
boar,373.6800338169877,594,4,,content
board,301.44680851063833,94,5,7.4350476,content
boars,407.5176470588235,85,5,,content
bobbing,389.5714285714286,84,7,,content
bodies,387.45333333333326,75,6,2.0245328625,content
body,371.01052631578943,95,4,1.7110144,content
bold,320.564705882353,85,4,4.7112532,content
bomb,349.6124266144814,143,4,6.03218532,content
bones,559.6809666975023,186,5,3.5406458033333332,content
book,336.4498504172571,160,4,0.87096339,content
books,335.76534753932015,154,5,1.30859715,content
bore,337.0813953488372,86,4,9.618805,content
botanical,363.62025316455697,79,9,,content
botanist,455.9493670886076,79,8,,content
botanists,353.38157894736844,76,9,,content
both,287.5934065934066,91,4,2.397683688,content
bottom,316.12865853658536,162,6,2.64550775,content
bottoms,403.5,82,7,,content
bought,282.3116883116884,77,6,0.067687206,content
bow,350.9759036144578,83,3,2.653269,content
boy,342.78260869565213,92,3,2.6569228,content
boys,339.076483762598,189,4,2.9987177000000003,content
bradford,379.7925614939909,258,8,1.0116717101083335,content
brass,350.85714285714283,91,5,0.7464115333333333,content
breakfast,364.4166666666666,84,9,2.173765,content
breaking,353.74067599067604,166,8,4.1847214500000005,content
breathe,375.9673913043479,92,7,5.699265,content
breathing,313.73493975903614,83,9,8.60373,content
brick,322.8829787234043,94,5,2.6512012,content
bricks,323.9139784946236,93,6,0.04016343,content
bridge,313.85714285714283,91,6,2.3660057,content
brief,400.1506849315068,73,5,0.4864901,content
bright,389.03333333333336,90,6,5.26583285,content
brighter,316.68131868131866,91,8,1.7135631,content
brightly,335.494623655914,93,8,2.9900289,content
brightness,312.8666666666667,90,10,2.65650608,content
bring,286.7294117647059,85,5,1.2263172,content
bringing,374.71428571428567,84,8,7.264096,content
british,320.75,76,7,1.6873562,content
broken,362.64,75,6,3.9054055,content
brook,315.2757020757021,181,5,,content
brother,324.86813186813185,91,7,3.7814302666666664,content
brothers,338.7692307692308,91,8,2.7501415000000002,content
brought,295.38823529411764,85,7,4.0510809,content
brown,407.3900066622251,174,5,0.5930730860000001,content
brunt,370.6588235294117,85,5,1.7971561,content
brushed,290.2043010752688,93,7,5.761876,content
bubble,373.0565301343117,232,6,0.23204029539999996,content
bubbles,353.07499999999993,80,7,0.7791566,content
budge,359.5949367088608,79,5,,content
buds,352.63903220067596,227,4,0.451847461,content
bugging,343.0533333333334,75,7,,content
buildup,320.65714285714284,70,7,8.727943,content
bulb,396.7791353383459,153,4,0.046162094199999996,content
bulbs,378.3051094738595,311,5,0.3888193107692308,content
bundle,341.8791208791209,91,6,3.73765005,content
burned,356.9340659340659,91,6,1.4412588,content
burner,293.1807228915663,83,6,0.3344687,content
burning,327.94444444444446,90,7,6.172032,content
burns,306.0769230769231,91,5,1.076092,content
burnt,340.4175824175824,91,5,3.8434746,content
burst,303.3764705882353,170,5,2.2645028500000004,content
buster,369.75531914893617,94,6,2.5158325125,content
busy,378.5402298850575,87,4,7.265933533333333,content
but,341.84177385921566,261,3,1.6043275650000002,function
butter,297.53086419753083,81,6,6.634595,content
buy,299.3956043956044,91,3,1.7365095779999997,content
buyers,333.4603463203463,152,6,0.11592547686666667,content
buzz,312.6595744680851,94,4,3.9709044,content
by,366.10622870522656,260,2,2.033390646714035,function
call,314.09890109890114,91,4,3.0137235999999996,content
called,329.7609371264642,183,6,1.979508501,content
calm,312.18430930930936,146,4,2.8560734,content
came,346.6235294117647,85,4,3.377471954166667,content
camouflage,357.34722222222223,72,10,4.5661993,content
can,348.4261727762112,177,3,2.0860919114615384,function
candlelike,381.30769230769226,91,10,,content
candy,318.1827956989247,93,5,1.9006771,content
cannot,315.33333333333337,84,6,4.172054,content
cant,356.4125,80,4,,content
capable,282.2328767123288,73,7,0.85526067,content
car,335.6052631578947,152,3,0.7883811199999999,content
carcass,327.6162790697674,86,7,,content
cards,335.0229885057471,87,5,0.10890642,content
careful,334.7831325301205,166,7,7.223093499999999,content
carefully,394.27272727272725,88,9,3.6933005,content
carriages,393.8681318681319,91,9,,content
carried,374.84615384615387,91,7,3.5664554,content
carry,323.8244884910486,177,5,0.7268869075,content
carrying,399.7717391304347,92,8,9.66688,content
case,308.32954545454544,88,4,4.641275136666667,content
cases,327.56164383561645,73,5,0.060376342,content
cast,311.05479452054794,73,4,6.6111155,content
catch,309.9397590361445,83,5,3.9454207,content
cause,327.7887323943662,71,5,0.635295,content
caused,295.77659574468083,94,6,3.491355,content
causing,284.7027027027027,74,7,0.90686727,content
celebrate,371.52941176470586,85,9,2.5986235,content
celebrating,339.30985915492954,71,11,5.8642488,content
century,455.3116883116883,77,7,0.015895423,content
certain,363.6695031298905,143,7,3.6521430833333333,content
certainly,400.2197802197802,91,9,1.4024486950000001,content
chair,324.3194921070693,187,5,1.30233692,content
chairs,322.59574468085106,94,6,0.598852,content
challenging,360.90697674418607,86,11,10.076639,content
chance,305.4673913043478,92,6,3.9856765195,content
changed,358.7187052078356,183,7,4.186470322,content
changes,277.2763157894737,76,7,2.8252597,content
characterized,463.6351351351352,74,13,4.43077135,content
charles,451.3246753246753,77,7,2.5112157,content
check,322.0722891566265,83,5,3.2579498,content
cheering,276.2567567567568,74,8,5.570795,content
cheers,305.60273972602744,73,6,3.030057,content
chest,305.8395061728395,81,5,4.2257385,content
chicanery,370.9761904761905,84,9,,content
child,328.80219780219784,182,5,3.6632838000000003,content
childhood,400.9059607552758,147,9,2.0621412,content
children,441.9340659340659,91,8,8.301384,content
childs,354.90109890109886,91,6,,content
chirping,328.6263736263736,91,8,,content
chocolate,376.2197802197802,91,9,4.334571,content
choice,286.8533333333333,75,6,2.0068011,content
chosen,368.7333333333332,90,6,0.6625603,content
chronic,365.1486486486487,74,7,4.0065523,content
church,386.1208791208791,91,6,2.3930008,content
cigarette,333.51612903225805,93,9,0.08065134,content
circle,294.1098901098901,91,6,0.033754606,content
city,374.7774086378737,170,4,4.384153683333333,content
clacking,398.0116279069768,86,8,,content
claimed,315.8783783783784,74,7,0.7419323733333334,content
claims,478.8473173515981,145,6,3.038111153333334,content
class,328.4879518072289,166,5,0.0529223105,content
classic,290.0921052631579,76,7,0.5354357,content
classified,313.36,75,10,3.0409446633333332,content
clatter,324.3777777777778,90,7,,content
clattered,407.40697674418607,86,9,,content
clattering,353.16666666666663,90,10,,content
clean,356.79545454545456,88,5,3.0798397299999998,content
cleaning,388.0853658536586,82,8,5.2008686,content
clear,355.39408801696715,174,5,5.047514421283333,content
cleared,326.5365853658537,82,7,5.997725,content
clears,330.2771084337349,83,6,7.4196625,content
clever,337.17857142857144,84,6,1.4782345,content
cliff,330.9782608695652,92,5,3.0228705,content
climate,351.0909090909091,77,7,1.6142145,content
climbed,302.3829787234043,94,7,4.6718836999999995,content
clinging,348.36904761904754,84,8,3.7487361999999997,content
clinicians,409.5211267605634,71,10,3.243251,content
clone,346.60526315789474,76,5,0.057257477,content
close,322.14942528735634,87,5,9.037567,content
closed,294.5057471264368,87,6,1.7012767500000001,content
closer,342.21111111111105,90,6,5.6851044,content
cloud,358.0072834142602,177,5,0.6267614,content
clouds,519.438202247191,89,6,0.173940711,content
cnn,503.6216216216216,74,3,0.93813694,content
coat,381.09333333333336,75,4,2.7499702,content
cold,341.5225071225071,272,4,2.755864456111111,content
collapsed,357.21916585524184,157,9,0.1117200135,content
collars,377.6197183098592,71,7,,content
collection,317.5375,80,10,0.7223591,content
colors,384.5128205128205,78,6,0.44856292,content
combination,350.7042253521127,71,11,0.0349111,content
combined,390.3333333333333,78,8,1.5098504000000001,content
come,372.74502521466536,355,4,3.3280759469230765,content
comfort,331.8933333333333,75,7,2.0160658,content
coming,355.032967032967,91,6,3.2892592,content
commanding,355.7837837837838,74,10,,content
commence,449.953488372093,86,8,3.8624067,content
commerce,323.87012987012986,77,8,0.599489,content
common,312.40277777777777,72,6,3.913714245,content
commonly,335.3333333333333,69,8,5.5258946,content
comparable,401.3698630136986,73,10,11.512722,content
competition,394.8390804597701,87,11,2.9377859,content
complete,303.095744680851,94,8,1.6934845,content
completely,345.6043956043956,91,10,2.988650085,content
complex,371.6606812291744,220,7,1.1252741902428571,content
compression,341.54285714285714,70,11,2.183701,content
compulsive,329.8260869565217,69,10,,content
computerized,405.1527777777777,72,12,,content
concert,328.6384672343577,147,7,7.1281865,content
concluded,434.2112676056338,71,9,1.2609385,content
conclusion,320.3188405797101,69,10,1.246545,content
conclusions,369.2,75,11,4.065028,content
condition,379.20180548994904,233,9,2.5872684666666665,content
conditions,355.87179487179486,78,10,0.7996987866666666,content
conduct,328.9,70,7,0.6432494,content
conducted,413.82608695652175,69,9,5.9739485,content
conference,363.2702702702703,74,10,1.0870324,content
confessions,530.3472222222222,72,11,,content
confident,354.2858807082945,161,9,4.320872,content
confirmed,371.8311688311688,77,9,8.92240635,content
confused,350.6388888888889,72,8,0.65608938,content
confusion,424.4022988505747,87,9,3.0568182,content
conjectured,386.2608695652173,92,11,,content
connection,316.2133333333333,75,10,0.44511396,content
considered,410.875,80,10,1.4255979694999998,content
considering,299.55405405405406,74,11,6.6428065,content
conspiracy,327.3733333333333,75,10,1.996923,content
constituted,314.1081081081081,74,11,4.5733440000000005,content
consulted,458.8169014084508,71,9,10.602651,content
contained,383.85365853658527,82,9,6.2380357,content
contamination,354.47945205479454,73,13,0.72076416,content
contest,331.53488372093017,86,7,3.6300008,content
contested,320.49333333333334,75,9,3.6796963,content
continue,411.6233766233767,77,8,2.16292415,content
continuing,324.31081081081084,74,10,4.22439,content
contract,364.6938758934373,157,8,0.1611039262,content
contracted,344.85526315789474,76,10,0.16497682,content
contracts,584.2207792207793,77,9,0.428738926,content
controversial,371.0394736842106,76,13,0.019041767,content
controversy,415.361111111111,72,11,0.39372215,content
convinced,337.30120481927713,83,9,9.4868355,content
cooccurs,364.0142857142857,70,8,,content
coordinated,404.7605633802817,71,11,0.20172004,content
coot,404.9569892473118,93,4,,content
coprolalia,485.41428571428577,70,10,,content
corn,320.53260869565213,92,4,5.953371,content
corner,316.1758241758242,91,6,0.85878325,content
corners,352.3695652173913,92,7,1.3499204200000001,content
corpses,404.45945945945937,74,7,1.8422247,content
correct,336.9154929577465,71,7,1.4717336,content
correthers,671.0,91,10,,content
cost,335.92,75,4,0.9335914,content
could,361.7266537222542,264,5,2.355646756789474,function
couldve,310.320987654321,81,7,,content
couleren,561.6578947368422,76,8,,content
count,339.57317073170736,82,5,2.0584762,content
counterargument,384.5915492957746,71,15,,content
countryside,397.1162790697675,86,11,4.218694,content
couple,326.5,82,6,2.46180985,content
course,357.75342465753425,73,6,0.4863947,content
court,327.81493506493507,147,5,2.3231750775,content
cover,320.72527472527474,91,5,1.6381334925,content
covering,319.69444444444446,72,8,0.49042058,content
coverup,330.99594594594595,149,7,,content
coveted,329.0632911392405,79,7,0.323367,content
cozy,339.38750000000005,80,4,6.579421,content
crack,369.4216867469879,83,5,1.7549179,content
craft,348.9466666666666,75,5,1.279312,content
craftsman,429.89473684210526,76,9,,content
crash,306.2467532467532,77,5,1.2415152,content
crashed,341.73008771929824,151,7,1.0563721357142857,content
created,380.05813953488376,86,7,3.444738385,content
creative,388.1325301204819,83,8,5.509171,content
creature,308.6823529411765,85,8,3.628508333333333,content
credibility,349.3150684931507,73,11,1.3129923,content
creeping,428.07954545454544,88,8,5.579394,content
crept,323.5766108891109,179,5,4.5055252,content
crest,391.22988505747134,87,5,11.374884,content
cried,334.96428946160404,268,5,3.17326765,content
critics,329.67410015649455,143,7,3.0157266700000003,content
crowd,305.9196411344781,144,5,2.3761813113333337,content
crowds,367.8895238095238,152,6,11.142721,content
crying,360.6363636363636,88,6,11.703877,content
cuckoo,441.9659090909091,88,6,,content
cultivated,448.1428571428572,77,10,0.29568145,content
cultivating,374.6493506493506,77,11,7.533825,content
cultivation,527.0875,80,11,6.3751664,content
culture,343.8648648648649,74,7,0.4143178,content
cunning,319.154836176895,257,7,2.32801406,content
curious,324.8888888888889,90,7,5.5056486,content
curls,347.69565217391306,92,5,2.216123,content
current,357.2714285714286,70,7,5.7093587,content
curtain,362.2328767123288,73,7,1.6687337,content
curtains,306.7432432432432,74,8,1.8311692,content
curve,297.7073170731707,82,5,7.4593587,content
cut,314.4665904064669,272,3,2.0537805525,content
cute,331.0301204819277,166,4,2.407519275,content
cutting,279.98936170212767,94,7,0.2681637,content
damn,330.2842105263158,95,4,5.0547442,content
damp,297.5934065934066,91,4,3.0433493,content
danced,406.5164835164837,91,6,3.5150332333333334,content
dank,325.57142857142856,91,4,,content
dared,423.9230769230769,91,5,5.47299345,content
dark,384.07608695652175,92,4,5.032536899999999,content
darkened,329.85714285714283,91,8,3.2313805,content
darkness,331.22370740305524,166,8,1.3687778800000001,content
dashing,388.6593406593407,91,7,,content
data,287.12,75,4,2.6754441,content
daughter,355.2,75,8,0.7139195,content
dawn,300.02117394800325,173,4,3.021117717,content
day,322.46775189811234,269,3,2.1202853040894736,content
daylights,337.72727272727275,88,9,,content
days,301.9879518072289,83,4,0.364598,content
de,374.54545454545456,88,2,5.9984139714,content
dead,436.3406593406593,91,4,0.43610328,content
deadly,312.9404761904762,84,6,4.8262143,content
deathbed,413.6301369863014,73,8,,content
debris,400.94594594594594,148,6,1.7625446212857143,content
debts,314.2972972972973,74,5,5.3583317,content
deceptively,309.6951219512195,82,11,,content
decide,330.264367816092,87,6,1.6885237,content
decided,317.3764705882353,85,7,4.2720906,content
decision,279.06024096385545,83,8,0.3191176,content
declaring,313.72727272727275,77,9,0.7296978,content
decree,386.4864864864865,74,6,0.025563065,content
deepest,365.8636363636364,88,7,3.5400546,content
deficit,351.6376811594203,69,7,,content
deflated,324.64864864864865,74,8,,content
dejectedly,445.12000000000006,75,10,,content
delusions,440.9342105263158,76,9,,content
demand,321.71428571428567,77,6,2.49162975,content
demanded,295.7619047619048,84,8,2.0995948,content
demons,358.97826086956525,92,6,10.465103,content
demonstrably,373.2191780821918,73,12,,content
denied,326.2409638554217,83,6,5.269852,content
depression,332.3380281690141,71,10,2.4758158,content
descended,301.3048780487805,82,9,7.5060086,content
described,353.9389619883041,148,9,0.54678412,content
description,363.8533333333333,75,11,3.4279587,content
desperate,326.6842105263158,76,9,9.475749,content
desperately,350.8617021276596,94,11,7.696717,content
despised,356.5813953488372,86,8,5.455459,content
despite,387.92105263157896,76,7,7.7323785,content
despondently,343.49450549450546,91,12,,content
detect,304.7714285714286,70,6,0.09041417,content
development,301.3623188405797,69,11,0.94918525,content
developmental,397.85135135135135,74,13,3.2380252,content
deviate,342.6623376623377,77,7,,content
diagnosed,383.2465753424657,73,9,4.336756,content
diagnosis,346.3005981092032,144,9,1.9164555656000002,content
diagnostic,304.8550724637681,69,10,2.0526893,content
did,329.6521739130435,92,3,2.731353606666667,function
didnt,322.7469879518072,83,5,,content
die,314.5909090909091,88,3,2.459433,content
died,287.7808219178082,73,4,1.63036008,content
different,348.9743859649123,170,9,0.72645058,content
difficult,309.4342105263158,76,9,1.7429205,content
difficulties,344.4366197183099,71,12,4.2601786,content
dig,332.95454545454544,88,3,2.5874858,content
dining,329.4842105263158,95,6,4.1207976,content
directed,310.7361111111111,72,8,6.420836,content
directly,322.2714285714286,70,8,3.8815894,content
dirt,338.43333333333334,90,4,12.059486,content
disabling,345.5753424657534,73,9,5.18786815,content
disagreements,317.3026315789474,76,13,5.300042,content
disappear,362.9831081081081,166,9,2.18783555,content
disc,409.60810810810807,74,4,0.43268904,content
discern,286.6867469879518,83,7,4.7363844,content
discovered,353.32142857142856,84,10,8.2742761,content
discrepancy,325.7887323943662,71,11,0.9983713,content
discussions,476.3611111111111,72,11,7.7881055,content
dismissively,327.61728395061726,81,12,,content
disorder,396.2929035654893,285,8,1.0312246891,content
disorders,351.0089285714286,142,9,2.62955055,content
distance,308.65934065934067,91,8,2.7035294,content
distant,362.45454545454544,88,7,0.75360835,content
distinct,366.40277777777777,72,8,7.221913,content
dizzy,361.9347826086957,92,5,,content
do,346.59839858136,263,2,4.382124342857143,function
doctors,355.5857142857143,70,7,5.793480150000001,content
documents,376.09333333333336,75,9,0.88960844,content
does,317.3648648648649,74,4,3.7274299,function
doing,298.14666666666665,75,5,4.8939266,content
dollar,304.4945054945055,91,6,0.07115295,content
dominant,507.9275362318841,69,8,0.071477406,content
done,328.19101123595505,89,4,2.56672855,content
dont,372.33423667570014,163,4,,content
door,289.62161125319693,177,4,2.64851085,content
doorway,304.5975609756098,164,7,0.314740915,content
doubt,329.55056179775283,89,5,6.9633317,content
down,343.598101492004,354,4,1.5655742746666668,function
downtown,358.95833333333337,96,8,9.476689,content
dr,337.9722222222223,72,2,2.7870545,content
dramatic,354.06944444444446,72,8,4.731853,content
dramatically,311.82432432432427,74,12,3.8609252,content
draw,340.12048192771084,83,4,2.1044915,content
drawing,320.43373493975906,83,7,1.72888215,content
drawn,339.24657534246575,73,5,10.885406,content
dreaded,301.98823529411766,85,7,2.9817903,content
dreadful,353.8241758241758,91,8,2.184188,content
dress,378.7912087912088,91,5,1.2667905,content
drew,323.6117647058824,85,4,2.74335575,content
drink,338.35714285714283,84,5,1.0959905,content
driven,298.7567567567568,74,6,1.3036696,content
driving,367.80263157894734,76,7,5.5703273,content
drop,416.43956043956047,91,4,2.05197095,content
dropped,296.9647058823529,85,7,1.5136288,content
drops,360.59540459540455,179,5,1.2036840762307692,content
dry,321.5733333333334,75,3,6.4946847,content
dubious,361.5416666666666,72,7,3.18278215,content
dubiously,359.0823529411765,85,9,,content
duck,323.70454545454544,88,4,1.8068212,content
ducks,327.75289855072464,182,5,4.48501935,content
dug,316.956043956044,91,3,2.5479038,content
dull,286.9130434782609,92,4,6.4420133,content
dummies,528.1739130434783,69,7,,content
during,324.3833333333333,160,6,3.778160929531667,function
